city,state_name,income,lat,lng
South-Plainfield,New-Jersey,105972,40.5748,-74.4153
Ontario,Oregon,39414,44.0259,-116.9759
Newport,Vermont,38122,44.9375,-72.2088
Chardon,Ohio,61367,41.5803,-81.2082
Knoxville,Iowa,61218,41.3188,-93.1024
Burr,Nebraska,35468,40.536,-96.2997
Huntington-Woods,Michigan,138883,42.4816,-83.1685
Kalamazoo,Michigan,39494,42.2749,-85.5882
Lyndonville,Vermont,34107,44.5352,-72.0016
Old-Bennington,Vermont,127285,42.8848,-73.2143
Cranston,Rhode-Island,72930,41.7658,-71.4857
Alpha,Minnesota,44677,43.6381,-94.871
Mountain-Home-AFB,Idaho,48120,43.0489,-115.866
North-Bay,Wisconsin,90421,42.7644,-87.7812
Union,New-Hampshire,64111,43.4912,-71.0231
Gardiner,Maine,49649,44.191,-69.7921
Nashville,Michigan,35866,42.6032,-85.0941
Gayville,South-Dakota,58276,42.8889,-97.1739
Russell,Iowa,45784,40.9801,-93.2005
Penns-Grove,New-Jersey,32747,39.7275,-75.4691
Topton,Pennsylvania,73560,40.5032,-75.7024
Forest-Junction,Wisconsin,78787,44.2139,-88.1496
Massillon,Ohio,47203,40.7838,-81.5254
Caledonia,Michigan,82153,42.7945,-85.5153
Eastpointe,Michigan,51508,42.4657,-82.9461
Filer,Idaho,46127,42.5679,-114.6115
Woodhaven,Michigan,69208,42.132,-83.2374
Muscoda,Wisconsin,43324,43.1873,-90.4334
Tremont-City,Ohio,54441,40.0148,-83.8388
Lake-Forest,Illinois,178102,42.238,-87.8596
Halma,Minnesota,32691,48.66,-96.5972
Audubon,New-Jersey,90775,39.8906,-75.0722
Arco,Idaho,30890,43.6316,-113.3017
North-Walpole,New-Hampshire,66088,43.1469,-72.4459
North-Philipsburg,Pennsylvania,49371,40.9092,-78.2088
Oakland,Pennsylvania,54978,40.3055,-78.8819
Passamaquoddy-Pleasant-Point,Maine,63142,44.9613,-67.0547
Edmore,North-Dakota,37317,48.4124,-98.4536
Watford-City,North-Dakota,74432,47.8028,-103.2678
Shoreham,New-York,133183,40.9571,-72.9072
Round-Lake-Heights,Illinois,81673,42.3855,-88.1038
Harbor,Oregon,32869,42.0386,-124.2516
Glenville,Connecticut,97053,41.0349,-73.6656
Jefferson,Oregon,66797,44.7171,-123.0069
Laurel,Montana,55432,45.6735,-108.7707
Hayti,South-Dakota,55975,44.6571,-97.2046
Prescott,Washington,41164,46.2988,-118.3126
Northampton,Massachusetts,70184,42.3266,-72.6745
Derby-Line,Vermont,56548,45.0008,-72.1034
Nessen-City,Michigan,60449,44.5202,-85.8729
Waltham,Massachusetts,100129,42.3889,-71.2423
Bessemer-Bend,Wyoming,65788,42.7576,-106.5237
Sandstone,Minnesota,41582,46.1292,-92.8646
Housatonic,Massachusetts,35280,42.2487,-73.3626
Van-Buren,Indiana,48812,40.6157,-85.5039
Glenwood,Iowa,63125,41.0446,-95.7408
Waterville,Maine,38879,44.5441,-69.6624
Misquamicut,Rhode-Island,90003,41.3237,-71.822
Chepachet,Rhode-Island,62994,41.9105,-71.6653
Waubay,South-Dakota,42716,45.3345,-97.3055
Riverside,Oregon,79395,45.6768,-118.7368
South-Coventry,Connecticut,93831,41.7695,-72.3064
Goose-Lake,Iowa,72625,41.9678,-90.3816
Raymond,South-Dakota,52356,44.9105,-97.9372
Conway,Michigan,58213,45.4188,-84.8634
St.-Francisville,Illinois,63770,38.5919,-87.6474
Pittsfield,Illinois,43657,39.6202,-90.7934
Dover-Beaches-North,New-Jersey,81430,39.9921,-74.0715
Susquehanna-Depot,Pennsylvania,37062,41.9438,-75.6039
Kapowsin,Washington,79243,46.9727,-122.2272
Fisher,Illinois,61752,40.3157,-88.3503
Wilkesville,Ohio,50939,39.0765,-82.3271
Winnett,Montana,41589,47.0043,-108.3466
Beachwood,New-Jersey,85609,39.9286,-74.2023
Westbrook,Maine,61891,43.6954,-70.3539
Y-O-Ranch,Wyoming,55537,42.0351,-104.9229
Terrace-Heights,Washington,66069,46.6024,-120.4482
Glenville,Connecticut,97053,41.0349,-73.6656
Victory-Gardens,New-Jersey,55151,40.8762,-74.5435
Chesterton,Indiana,75361,41.5997,-87.0548
Carteret,New-Jersey,76530,40.5848,-74.2284
Old-Mystic,Connecticut,86157,41.3854,-71.985
Keansburg,New-Jersey,53967,40.4471,-74.1316
Lincoln-Village,Ohio,52295,39.9532,-83.1314
Vergennes,Vermont,64980,44.1664,-73.2555
Osceola,Wisconsin,46614,45.3193,-92.6936
Little-Falls,Maine,76059,43.7312,-70.4301
Trenton,New-Jersey,34000,40.2236,-74.7641
Shelton,Connecticut,98561,41.306,-73.1383
Ogdensburg,New-Jersey,95321,41.0769,-74.5973
Providence,Rhode-Island,50097,41.823,-71.4187
Rader-Creek,Montana,72412,45.8456,-112.3161
Plainfield-Village,Connecticut,50207,41.6766,-71.925
Gold-Bar,Washington,70530,47.8563,-121.692
Busby,Montana,63775,45.5281,-106.9753
Afton,Iowa,50137,41.0276,-94.1954
Falmouth-Foreside,Maine,107817,43.7348,-70.2152
Broadland,South-Dakota,116570,44.4938,-98.3466
Hebron,Indiana,57602,41.3246,-87.2017
Battle-Creek,Michigan,42688,42.2986,-85.2296
